order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd,profit_usd
1,19-03-2012,20,20,1,1,49.99,19.49,30.5
2,19-03-2012,104,104,1,1,49.99,19.49,30.5
3,20-03-2012,147,147,1,1,49.99,19.49,30.5
4,20-03-2012,160,160,1,1,49.99,19.49,30.5
5,20-03-2012,177,177,1,1,49.99,19.49,30.5
6,20-03-2012,232,232,1,1,49.99,19.49,30.5
7,20-03-2012,241,241,1,1,49.99,19.49,30.5
8,20-03-2012,295,295,1,1,49.99,19.49,30.5
9,21-03-2012,304,304,1,1,49.99,19.49,30.5
10,21-03-2012,317,317,1,1,49.99,19.49,30.5
11,21-03-2012,321,321,1,1,49.99,19.49,30.5
12,21-03-2012,327,327,1,1,49.99,19.49,30.5
13,21-03-2012,332,332,1,1,49.99,19.49,30.5
14,21-03-2012,336,336,1,1,49.99,19.49,30.5
15,21-03-2012,428,428,1,1,49.99,19.49,30.5
16,21-03-2012,434,434,1,1,49.99,19.49,30.5
17,21-03-2012,465,465,1,1,49.99,19.49,30.5
18,22-03-2012,507,507,1,1,49.99,19.49,30.5
19,22-03-2012,536,536,1,1,49.99,19.49,30.5
20,22-03-2012,615,615,1,1,49.99,19.49,30.5
21,22-03-2012,639,639,1,1,49.99,19.49,30.5
22,23-03-2012,732,732,1,1,49.99,19.49,30.5
23,23-03-2012,750,750,1,1,49.99,19.49,30.5
24,23-03-2012,783,783,1,1,49.99,19.49,30.5
25,24-03-2012,844,844,1,1,49.99,19.49,30.5
26,25-03-2012,908,908,1,1,49.99,19.49,30.5
27,25-03-2012,909,909,1,1,49.99,19.49,30.5
28,25-03-2012,940,940,1,1,49.99,19.49,30.5
29,25-03-2012,954,954,1,1,49.99,19.49,30.5
30,26-03-2012,1018,1016,1,1,49.99,19.49,30.5
31,26-03-2012,1023,1021,1,1,49.99,19.49,30.5
32,26-03-2012,1059,1055,1,1,49.99,19.49,30.5
33,26-03-2012,1081,1077,1,1,49.99,19.49,30.5
34,26-03-2012,1094,1090,1,1,49.99,19.49,30.5
35,26-03-2012,1098,1094,1,1,49.99,19.49,30.5
36,26-03-2012,1105,1101,1,1,49.99,19.49,30.5
37,26-03-2012,1107,1103,1,1,49.99,19.49,30.5
38,26-03-2012,1125,1121,1,1,49.99,19.49,30.5
39,27-03-2012,1243,1238,1,1,49.99,19.49,30.5
40,27-03-2012,1256,1251,1,1,49.99,19.49,30.5
41,28-03-2012,1330,1325,1,1,49.99,19.49,30.5
42,28-03-2012,1343,1337,1,1,49.99,19.49,30.5
43,28-03-2012,1419,1412,1,1,49.99,19.49,30.5
44,28-03-2012,1454,1447,1,1,49.99,19.49,30.5
45,28-03-2012,1463,1456,1,1,49.99,19.49,30.5
46,29-03-2012,1581,1574,1,1,49.99,19.49,30.5
47,29-03-2012,1605,1598,1,1,49.99,19.49,30.5
48,29-03-2012,1643,1635,1,1,49.99,19.49,30.5
49,30-03-2012,1646,1638,1,1,49.99,19.49,30.5
50,30-03-2012,1654,1646,1,1,49.99,19.49,30.5
51,30-03-2012,1685,1677,1,1,49.99,19.49,30.5
52,30-03-2012,1691,1683,1,1,49.99,19.49,30.5
53,30-03-2012,1709,1701,1,1,49.99,19.49,30.5
54,30-03-2012,1726,1718,1,1,49.99,19.49,30.5
55,30-03-2012,1729,1721,1,1,49.99,19.49,30.5
56,31-03-2012,1790,1782,1,1,49.99,19.49,30.5
57,31-03-2012,1802,1794,1,1,49.99,19.49,30.5
58,31-03-2012,1807,1799,1,1,49.99,19.49,30.5
59,31-03-2012,1823,1815,1,1,49.99,19.49,30.5
